split,case,image,mask
train,358,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/358.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/358.png
train,cju2u2b9o4zvp08788qb9nqxj,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2u2b9o4zvp08788qb9nqxj.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2u2b9o4zvp08788qb9nqxj.png
train,231,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/231.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/231.png
train,cju2z2x3nvd3c099350zgty7w,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2z2x3nvd3c099350zgty7w.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2z2x3nvd3c099350zgty7w.png
train,ck2bxknhjvs1x0794iogrq49k,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/ck2bxknhjvs1x0794iogrq49k.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/ck2bxknhjvs1x0794iogrq49k.png
train,cju2ulk385h170799rlklxob0,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2ulk385h170799rlklxob0.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2ulk385h170799rlklxob0.png
train,cju1gi7jlwyld0835cdf6g6qz,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1gi7jlwyld0835cdf6g6qz.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1gi7jlwyld0835cdf6g6qz.png
train,cju8bbznkrf5g0871jncffynk,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju8bbznkrf5g0871jncffynk.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju8bbznkrf5g0871jncffynk.png
train,cju41p90plcsx08018cnzpndc,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju41p90plcsx08018cnzpndc.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju41p90plcsx08018cnzpndc.png
train,321,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/321.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/321.png
train,541,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/541.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/541.png
train,69,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/69.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/69.png
train,cju2zblxw9848087853csbrx1,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2zblxw9848087853csbrx1.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2zblxw9848087853csbrx1.png
train,cju6xifswvwbo0987nibtdr50,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju6xifswvwbo0987nibtdr50.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju6xifswvwbo0987nibtdr50.png
train,cju2qdj95ru8g09886gfi9rsz,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju2qdj95ru8g09886gfi9rsz.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju2qdj95ru8g09886gfi9rsz.png
train,539,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/539.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/539.png
train,304,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/304.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/304.png
train,99,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/99.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/99.png
train,cju8bpctzrqkr0850zeldv9kt,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju8bpctzrqkr0850zeldv9kt.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju8bpctzrqkr0850zeldv9kt.png
train,cju1euuc65wm00799m4sjdnnn,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju1euuc65wm00799m4sjdnnn.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju1euuc65wm00799m4sjdnnn.png
train,cju88y1mwoln50871emyfny1g,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju88y1mwoln50871emyfny1g.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju88y1mwoln50871emyfny1g.png
train,cju8bafgqrf4x0818twisk3ea,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju8bafgqrf4x0818twisk3ea.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju8bafgqrf4x0818twisk3ea.png
train,cju5vbo6jldrt0871jf6f1700,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju5vbo6jldrt0871jf6f1700.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju5vbo6jldrt0871jf6f1700.png
train,cju87li0zn3yb0817kbwgjiz8,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju87li0zn3yb0817kbwgjiz8.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju87li0zn3yb0817kbwgjiz8.png
train,cju35ldepdtlm0801yv79y8vu,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju35ldepdtlm0801yv79y8vu.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju35ldepdtlm0801yv79y8vu.png
train,586,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/586.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/586.png
train,cju15czxqp3lv0835jvhgzurz,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/image/cju15czxqp3lv0835jvhgzurz.png,/root/autodl-tmp/wysiwyr_real/data/TrainDataset/masks/cju15czxqp3lv0835jvhgzurz.png
