dataset,metric,comparison_key,n_paired_recomputed,raw_p,wilcoxon_p,n_paired_frozen,abs_p_diff,n_match
CVC-300,assd,abloss->both,60,0.05948786602,0.05948786602,60,6.938893904e-17,True
CVC-300,assd,baseline->abloss,60,0.01063476872,0.01063476872,60,0,True
CVC-300,assd,baseline->both,60,0.008774154976,0.008774154976,60,1.734723476e-17,True
CVC-300,assd,baseline->usr,60,0.06357852752,0.06357852752,60,5.551115123e-17,True
CVC-300,assd,usr->both,60,0.04070468302,0.04070468302,60,4.857225733e-17,True
CVC-300,boundary_dice,abloss->both,60,0.001988977492,0.001988977492,60,2.081668171e-17,True
CVC-300,boundary_dice,baseline->abloss,60,0.7909958204,0.7909958204,60,0,True
CVC-300,boundary_dice,baseline->both,60,0.5171006898,0.5171006898,60,0,True
CVC-300,boundary_dice,baseline->usr,60,0.005514668227,0.005514668227,60,3.816391647e-17,True
CVC-300,boundary_dice,usr->both,60,0.9004069764,0.9004069764,60,0,True
CVC-300,dice,abloss->both,60,0.02428119314,0.02428119314,60,5.551115123e-17,True
CVC-300,dice,baseline->abloss,60,0.008044959221,0.008044959221,60,3.122502257e-17,True
CVC-300,dice,baseline->both,60,0.004091429449,0.004091429449,60,7.025630078e-17,True
CVC-300,dice,baseline->usr,60,0.07363583006,0.07363583006,60,6.938893904e-17,True
CVC-300,dice,usr->both,60,0.02162903236,0.02162903236,60,7.632783294e-17,True
CVC-300,hd95,abloss->both,60,0.4309383284,0.4309383284,60,0,True
CVC-300,hd95,baseline->abloss,60,0.0001013982337,0.0001013982337,60,9.395967077e-17,True
CVC-300,hd95,baseline->both,60,8.950415388e-05,8.950415388e-05,60,0,True
CVC-300,hd95,baseline->usr,60,0.1475751341,0.1475751341,60,0,True
CVC-300,hd95,usr->both,60,0.0003770223827,0.0003770223827,60,7.817097664e-17,True
CVC-300,iou,abloss->both,60,0.01086177447,0.01086177447,60,4.163336342e-17,True
