family,dataset,metric,direction,first,second,comparison,n_paired,mean_paired_diff_second_minus_first,median_paired_diff_second_minus_first,raw_p,bh_q,raw_sig,bh_sig,bh_q_lt_0.001,bh_q_lt_0.01,bh_q_lt_0.05
all7,CVC-300,assd,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,-0.6498607733,-0.9158789282,0.01063476872,0.0241699289,True,True,False,False,True
all7,CVC-300,assd,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,-0.6238822411,-1.000615331,0.008774154976,0.02020364633,True,True,False,False,True
all7,CVC-300,assd,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,-0.148767054,-0.08766636514,0.06357852752,0.1135330849,False,False,False,False,False
all7,CVC-300,assd,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,0.02597853215,-0.1469400203,0.05948786602,0.1084414224,False,False,False,False,False
all7,CVC-300,assd,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,-0.4751151871,-0.5485435474,0.04070468302,0.07827823658,True,False,False,False,False
all7,CVC-300,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,-0.0001524657046,3.325081759e-13,0.7909958204,0.8492286415,False,False,False,False,False
all7,CVC-300,boundary_dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,0.005544387153,2.175378029e-12,0.5171006898,0.6032841381,False,False,False,False,False
all7,CVC-300,boundary_dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,0.008072171565,0.002692670605,0.005514668227,0.01398647739,True,True,False,False,True
all7,CVC-300,boundary_dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,0.005696852858,0.003839018569,0.001988977492,0.005801184353,True,True,False,True,True
all7,CVC-300,boundary_dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,-0.002527784411,2.536953283e-14,0.9004069764,0.9161117492,False,False,False,False,False
all7,CVC-300,dice,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,0.01561014576,0.008263015302,0.008044959221,0.01877157152,True,True,False,False,True
all7,CVC-300,dice,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,0.01776395954,0.01381860329,0.004091429449,0.0111875024,True,True,False,False,True
all7,CVC-300,dice,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,0.00201094098,0.0007833030549,0.07363583006,0.12510942,False,False,False,False,False
all7,CVC-300,dice,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,0.002153813785,0.001273335325,0.02428119314,0.04940940465,True,True,False,False,True
all7,CVC-300,dice,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,0.01575301857,0.009273039857,0.02162903236,0.04453036074,True,True,False,False,True
all7,CVC-300,hd95,lower_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,-4.36735163,-4.979202711,0.0001013982337,0.0004224926403,True,True,True,True,True
all7,CVC-300,hd95,lower_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,-4.452941398,-5.176918075,8.950415388e-05,0.0003820299251,True,True,True,True,True
all7,CVC-300,hd95,lower_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,-0.3880866945,0,0.1475751341,0.2207320382,False,False,False,False,False
all7,CVC-300,hd95,lower_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,-0.08558976863,0,0.4309383284,0.5278070739,False,False,False,False,False
all7,CVC-300,hd95,lower_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,-4.064854704,-4.262277092,0.0003770223827,0.001434324282,True,True,False,True,True
all7,CVC-300,iou,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,0.02500398137,0.01189714421,0.002363096124,0.006779374127,True,True,False,True,True
all7,CVC-300,iou,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,0.02830389847,0.0190239844,0.00108099414,0.003378106686,True,True,False,True,True
all7,CVC-300,iou,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,0.003330656089,0.001337097998,0.04070468302,0.07827823658,True,False,False,False,False
all7,CVC-300,iou,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,0.003299917105,0.001568331981,0.01086177447,0.02436936581,True,True,False,False,True
all7,CVC-300,iou,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,0.02497324239,0.01145426134,0.007052676173,0.01690710041,True,True,False,False,True
all7,CVC-300,precision,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,0.02458267575,0.01103589021,0.002663632635,0.00751831792,True,True,False,True,True
all7,CVC-300,precision,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,0.02805397062,0.01684023951,0.0008726567746,0.002881413878,True,True,False,True,True
all7,CVC-300,precision,higher_better,MedSAM,MedSAM+USR,MedSAM -> MedSAM+USR,60,0.00372185883,0.002227787179,0.00643366825,0.01563738811,True,True,False,False,True
all7,CVC-300,precision,higher_better,MedSAM+ABLoss,MedSAM+ABLoss+USR,MedSAM+ABLoss -> MedSAM+ABLoss+USR,60,0.003471294874,0.002386623841,0.003841711367,0.01067142046,True,True,False,False,True
all7,CVC-300,precision,higher_better,MedSAM+USR,MedSAM+ABLoss+USR,MedSAM+USR -> MedSAM+ABLoss+USR,60,0.02433211179,0.009122670401,0.007711764923,0.01823728191,True,True,False,False,True
all7,CVC-300,recall,higher_better,MedSAM,MedSAM+ABLoss,MedSAM -> MedSAM+ABLoss,60,0.001635411449,0.0004290251073,0.1450394743,0.2207122434,False,False,False,False,False
all7,CVC-300,recall,higher_better,MedSAM,MedSAM+ABLoss+USR,MedSAM -> MedSAM+ABLoss+USR,60,0.001370648817,0.0002850174816,0.1809254094,0.2638495554,False,False,False,False,False
